precision,recall,TopN
0.48539325842696623,0.31623101988333424,10
0.3730337078651686,0.4187155930541256,20
0.3220973782771536,0.49516056454737756,30
0.2820224719101123,0.5359936540181859,40
0.25617977528089875,0.5749166171303948,50
0.2353932584269664,0.601538048274852,60
0.21781701444622795,0.6389520936852999,70
0.20674157303370777,0.6714277059778897,80
0.19725343320848937,0.7092606387114645,90
0.18764044943820216,0.7310664752269914,100
0.1794688457609806,0.7487367559683257,110
0.17162921348314603,0.7741898800329413,120
0.16456352636127908,0.7928437478324234,130
0.15802568218298568,0.8084303209189053,140
0.1517602996254681,0.8249413396196467,150
0.14578651685393257,0.8379172282763419,160
0.13978849966953064,0.8481114033457151,170
0.1342696629213484,0.8580131599879294,180
0.12891780011827314,0.8630684357766238,190
0.12443820224719104,0.8746353530537077,200
