precision,recall,TopN
0.5244444444444446,0.3020605690838852,10
0.4177777777777777,0.4101476931368758,20
0.3655555555555557,0.4894415017235865,30
0.3272222222222222,0.5403249336312969,40
0.3017777777777777,0.5954485861285255,50
0.2774074074074073,0.6259584456966691,60
0.25873015873015887,0.6693563274224842,70
0.2445833333333333,0.7018223631691771,80
0.23024691358024701,0.7363400159653848,90
0.22077777777777774,0.7604723246415288,100
0.20989898989899006,0.7755051207754581,110
0.20055555555555557,0.7997043765580063,120
0.1914529914529915,0.8170026033296943,130
0.18388888888888905,0.8393809246239923,140
0.17688888888888882,0.8573853206290071,150
0.16930555555555554,0.8677271729489016,160
0.16248366013071888,0.8769004212588608,170
0.15604938271604946,0.8833320708836317,180
0.1497076023391812,0.8882930318542935,190
0.1443333333333333,0.8989261839021828,200
