precision,recall,TopN
0.4444444444444444,0.19507736077977486,10
0.35707070707070704,0.2868523371188428,20
0.31380471380471375,0.34474947086889485,30
0.2840909090909091,0.3952290766050057,40
0.2587878787878788,0.4312549828763853,50
0.2405723905723907,0.4663648027466095,60
0.22481962481962467,0.5047380353942303,70
0.2157828282828283,0.5391163005854595,80
0.20572390572390567,0.5647990768001383,90
0.19555555555555554,0.5867480105396742,100
0.18613406795224982,0.6077535841806933,110
0.1786195286195286,0.624615020424931,120
0.17319347319347317,0.6475248889577181,130
0.16551226551226556,0.6592012577188495,140
0.15986531986531985,0.6745985698660236,150
0.15536616161616162,0.6930596114797606,160
0.15002970885323816,0.7096639460241879,170
0.14551066217732883,0.7256028496147942,180
0.1415736310473153,0.7396361100557441,190
0.13808080808080805,0.7501789105528326,200
